ZIP,PO_NAME,STATE,ZIP_TYPE,ZCTA_crosswalk
31756,Hartsfield,GA,ZIP Code Area,31756
31768,Moultrie,GA,ZIP Code Area,31768
31757,Thomasville,GA,ZIP Code Area,31757
31832,Weston,GA,ZIP Code Area,31832
31903,Columbus,GA,ZIP Code Area,31903
31831,Waverly Hall,GA,ZIP Code Area,31831
31902,Columbus,GA,Post Office or large volume customer,31907
31901,Columbus,GA,ZIP Code Area,31901
31827,Talbotton,GA,ZIP Code Area,31827
31993,Columbus,GA,Post Office or large volume customer,31907
31995,Fort Benning,GA,Post Office or large volume customer,31907
31829,Upatoi,GA,ZIP Code Area,31829
31917,Columbus,GA,Post Office or large volume customer,31907
39818,Bainbridge,GA,Post Office or large volume customer,39819
39819,Bainbridge,GA,ZIP Code Area,39819
39815,Attapulgus,GA,ZIP Code Area,39815
31997,Columbus,GA,Post Office or large volume customer,31907
31998,Columbus,GA,Post Office or large volume customer,31906
31999,Columbus,GA,Post Office or large volume customer,31906
39813,Arlington,GA,ZIP Code Area,39813
39823,Blakely,GA,ZIP Code Area,39823
31909,Columbus,GA,ZIP Code Area,31909
31914,Columbus,GA,Post Office or large volume customer,31904
39817,Bainbridge,GA,ZIP Code Area,39817
31908,Columbus,GA,Post Office or large volume customer,31907
31905,Fort Benning,GA,ZIP Code Area,31905
31904,Columbus,GA,ZIP Code Area,31904
31906,Columbus,GA,ZIP Code Area,31906
31907,Columbus,GA,ZIP Code Area,31907
31824,Preston,GA,ZIP Code Area,31824
31810,Geneva,GA,Post Office or large volume customer,31810
31814,Louvale,GA,Post Office or large volume customer,31814
31821,Omaha,GA,ZIP Code Area,31821
31812,Junction City,GA,ZIP Code Area,31812
31820,Midland,GA,ZIP Code Area,31820
31825,Richland,GA,ZIP Code Area,31825
31811,Hamilton,GA,ZIP Code Area,31811
39846,Edison,GA,ZIP Code Area,39846
39859,Iron City,GA,ZIP Code Area,39859
39870,Newton,GA,ZIP Code Area,39870
31815,Lumpkin,GA,ZIP Code Area,31815
39885,Sasser,GA,Post Office or large volume customer,39885
39854,Georgetown,GA,ZIP Code Area,39854
39851,Fort Gaines,GA,ZIP Code Area,39851
39877,Parrott,GA,ZIP Code Area,39877
39866,Morgan,GA,ZIP Code Area,39866
39867,Morris,GA,ZIP Code Area,39867
39845,Donalsonville,GA,ZIP Code Area,39845
39862,Leary,GA,ZIP Code Area,39862
39861,Jakin,GA,ZIP Code Area,39861
39897,Whigham,GA,ZIP Code Area,39897
39886,Shellman,GA,ZIP Code Area,39886
39852,Fowlstown,GA,Post Office or large volume customer,39819
39841,Damascus,GA,ZIP Code Area,39841
39834,Climax,GA,ZIP Code Area,39834
39832,Cedar Springs,GA,Post Office or large volume customer,39823
39837,Colquitt,GA,ZIP Code Area,39837
39827,Cairo,GA,ZIP Code Area,39827
39825,Brinson,GA,ZIP Code Area,39825
39840,Cuthbert,GA,ZIP Code Area,39840
39829,Calvary,GA,Post Office or large volume customer,39828
39826,Bronwood,GA,ZIP Code Area,39826
39836,Coleman,GA,ZIP Code Area,39836
39824,Bluffton,GA,ZIP Code Area,39824
39842,Dawson,GA,ZIP Code Area,39842
39828,Cairo,GA,ZIP Code Area,39828
30218,Gay,GA,ZIP Code Area,30218
30222,Greenville,GA,ZIP Code Area,30222
30230,Hogansville,GA,ZIP Code Area,30230
30240,LaGrange,GA,ZIP Code Area,30240
30261,LaGrange,GA,Post Office or large volume customer,30241
30251,Luthersville,GA,ZIP Code Area,30251
30293,Woodbury,GA,ZIP Code Area,30293
30241,LaGrange,GA,ZIP Code Area,30241
31836,Woodland,GA,ZIP Code Area,31836
31833,West Point,GA,ZIP Code Area,31833
31830,Warm Springs,GA,ZIP Code Area,31830
31826,Shiloh,GA,ZIP Code Area,31826
31822,Pine Mountain,GA,ZIP Code Area,31822
31816,Manchester,GA,ZIP Code Area,31816
31823,Pine Mountain Valley,GA,ZIP Code Area,31823
30006,Marietta,GA,Post Office or large volume customer,30339
30008,Marietta,GA,ZIP Code Area,30008
30069,Marietta,GA,ZIP Code Area,30060
30067,Marietta,GA,ZIP Code Area,30067
30063,Marietta,GA,Post Office or large volume customer,30060
30064,Marietta,GA,ZIP Code Area,30064
30081,Smyrna,GA,Post Office or large volume customer,30080
30080,Smyrna,GA,ZIP Code Area,30080
30113,Buchanan,GA,ZIP Code Area,30113
30122,Lithia Springs,GA,ZIP Code Area,30122
30106,Austell,GA,ZIP Code Area,30106
30112,Carrollton,GA,Post Office or large volume customer,30117
30109,Bowdon Junction,GA,Post Office or large volume customer,30117
30111,Clarkdale,GA,Post Office or large volume customer,30127
30108,Bowdon,GA,ZIP Code Area,30108
30118,Carrollton,GA,ZIP Code Area,30118
30135,Douglasville,GA,ZIP Code Area,30135
30119,Carrollton,GA,Post Office or large volume customer,30117
30134,Douglasville,GA,ZIP Code Area,30134
30117,Carrollton,GA,ZIP Code Area,30117
30110,Bremen,GA,ZIP Code Area,30110
30116,Carrollton,GA,ZIP Code Area,30116
30133,Douglasville,GA,Post Office or large volume customer,30134
30127,Powder Springs,GA,ZIP Code Area,30127
30126,Mableton,GA,ZIP Code Area,30126
30140,Felton,GA,Post Office or large volume customer,30113
30141,Hiram,GA,ZIP Code Area,30141
30157,Dallas,GA,ZIP Code Area,30157
30150,Mount Zion,GA,Post Office or large volume customer,30117
30082,Smyrna,GA,ZIP Code Area,30082
30217,Franklin,GA,ZIP Code Area,30217
30219,Glenn,GA,Post Office or large volume customer,30217
30220,Grantville,GA,ZIP Code Area,30220
30179,Temple,GA,ZIP Code Area,30179
30215,Fayetteville,GA,ZIP Code Area,30215
30205,Brooks,GA,ZIP Code Area,30205
30213,Fairburn,GA,ZIP Code Area,30213
30229,Haralson,GA,Post Office or large volume customer,30276
30187,Winston,GA,ZIP Code Area,30187
30214,Fayetteville,GA,ZIP Code Area,30214
30206,Concord,GA,ZIP Code Area,30206
30263,Newnan,GA,ZIP Code Area,30263
30238,Jonesboro,GA,ZIP Code Area,30238
30264,Newnan,GA,Post Office or large volume customer,30263
30237,Jonesboro,GA,Post Office or large volume customer,30236
30258,Molena,GA,ZIP Code Area,30258
30236,Jonesboro,GA,ZIP Code Area,30236
30265,Newnan,GA,ZIP Code Area,30265
30276,Senoia,GA,ZIP Code Area,30276
30259,Moreland,GA,ZIP Code Area,30259
30275,Sargent,GA,Post Office or large volume customer,30275
30287,Morrow,GA,Post Office or large volume customer,30236
30274,Riverdale,GA,ZIP Code Area,30274
30268,Palmetto,GA,ZIP Code Area,30268
30272,Red Oak,GA,Post Office or large volume customer,30349
30292,Williamson,GA,ZIP Code Area,30292
30277,Sharpsburg,GA,ZIP Code Area,30277
30270,Peachtree City,GA,Post Office or large volume customer,30269
30271,Newnan,GA,Post Office or large volume customer,30263
30269,Peachtree City,GA,ZIP Code Area,30269
30154,Douglasville,GA,Post Office or large volume customer,30134
30185,Whitesburg,GA,ZIP Code Area,30185
30180,Villa Rica,GA,ZIP Code Area,30180
30182,Waco,GA,ZIP Code Area,30182
30176,Tallapoosa,GA,ZIP Code Area,30176
30168,Austell,GA,ZIP Code Area,30168
30170,Roopville,GA,ZIP Code Area,30170
30315,Atlanta,GA,ZIP Code Area,30315
30334,Atlanta,GA,ZIP Code Area,30334
30332,Atlanta,GA,Post Office or large volume customer,30332
30325,Atlanta,GA,Post Office or large volume customer,30312
30326,Atlanta,GA,ZIP Code Area,30326
30328,Atlanta,GA,ZIP Code Area,30328
30312,Atlanta,GA,ZIP Code Area,30312
30314,Atlanta,GA,ZIP Code Area,30314
30320,Atlanta,GA,Post Office or large volume customer,30337
30324,Atlanta,GA,ZIP Code Area,30324
30313,Atlanta,GA,ZIP Code Area,30313
30327,Atlanta,GA,ZIP Code Area,30327
30321,Atlanta,GA,Post Office or large volume customer,30354
30309,Atlanta,GA,ZIP Code Area,30309
30318,Atlanta,GA,ZIP Code Area,30318
30348,Atlanta,GA,Post Office or large volume customer,30354
30349,Atlanta,GA,ZIP Code Area,30349
30339,Atlanta,GA,ZIP Code Area,30339
30343,Atlanta,GA,Post Office or large volume customer,30303
30342,Atlanta,GA,ZIP Code Area,30342
30337,Atlanta,GA,ZIP Code Area,30337
30344,Atlanta,GA,ZIP Code Area,30344
